,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
0,Spice village,ChIJ81LwYmVVUDcR2ODUhMwLNtI,24.902049,91.86888139999999,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rashid Emporium, Dargah Gate, Sylhet"
1,Farmis Garden hotel & Restaurant,ChIJJVF1klBVUDcRWnEgQ94xn_s,24.9022915,91.8629058,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Mirer moydan, Sylhet"
2,"Zafran restaurant, Sylhet.",ChIJfyAnxQVVUDcRYfEunaTpm1E,24.9013994,91.8697679,,"['restaurant', 'food', 'point_of_interest', 'establishment']","lovely complex. ground floor, 61 Dargah Gate, Sylhet"
3,Sizzler,ChIJUfp-cyZVUDcRghBo2GPLosk,24.9054351,91.86705979999999,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Darshan Deuri, Amborkhana"
4,Polashi Restaurant & VIP Lounge,ChIJx61eP0hVUDcRoO08i4Wuq0E,24.9097217,91.8485996,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Manik Trading Center, N Bagbari Rd, Sylhet"
5,SAJON restaurant,ChIJU9gsZ05VUDcRFbOC_DLGGA8,24.914016,91.8663229,,"['restaurant', 'food', 'point_of_interest', 'establishment']","112,Oikkotan, western pirmoholla"
6,Sip & Bite,ChIJ_SCCOiZVUDcRO4MNeE1cBtg,24.9054416,91.8677321,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Sunamgonj Road, Dargah Mahalla, Sylhet"
7,Chick Chicken,ChIJjzkP5ztVUDcRE3OtcSmddW0,24.9091667,91.85666669999999,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Beside Anandaniketan School, West, Sylhet - Sunamganj Hwy, Sylhet"
8,Rifat restaurant,ChIJsRzM2tJVUDcRGFgEbtExuv4,24.9161316,91.8704411,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Badambagicha Rd No. 4, Sylhet"
9,Mujdalifa Restaurant,ChIJaemUSSBVUDcRLJs_unmsY5I,24.901389,91.85358029999999,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Ragib rabiya, Medical College Road, Sylhet"
10,Pakistani restaurant,ChIJ1wgS_rpVUDcRLcxyTNxE4X0,24.9229493,91.8429324,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jalalia R/A airport raod, Sylhet"
11,Jonoprio Restaurant,ChIJ-0t3RltVUDcRq55ICaU8t5A,24.9099587,91.8975703,,"['restaurant', 'food', 'point_of_interest', 'establishment']",Sylhet
12,Shukria Restaurant,ChIJEagcQwxVUDcR8W2h6gVrjhU,24.912188,91.851226,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Gias Miah Road, Sylhet"
13,Chilli Restaurant,ChIJLcMHCf1VUDcR_GkH3sSfnNw,24.9106895,91.8481795,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Sylhet - Sunamganj Hwy, Sylhet"
14,Bombay Biriyani Restaurant,ChIJ-So6M1pVUDcRibNqWBW7Lk4,24.9061921,91.8819388,,"['restaurant', 'food', 'point_of_interest', 'establishment']",Sylhet
15,Nahar Restaurant,ChIJXaPl2KZVUDcRUcXDwtLLFLc,24.9053804,91.8700542,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Airport Rd, Sylhet"
16,The Cinnamon Restaurant,ChIJN_ds5FZVUDcRDfyM_ovQ-fU,24.906171,91.86235549999999,,"['restaurant', 'food', 'point_of_interest', 'establishment']",Sylhet
17,Sinbad Restaurant,ChIJE6-_uYZVUDcRApuDHdHZZUo,24.9054407,91.8670605,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Dorshon Dewri, Sylhet"
18,Mughal restaurant,ChIJC6Y0nYJVUDcRw3JrfH6Pzls,24.9015584,91.8919141,,"['restaurant', 'food', 'point_of_interest', 'establishment']","point, Sylhet"
19,তাইযুলের টং,ChIJjfcXQ0RVUDcRaaJP9WAoFGg,24.9114726,91.90321,,"['restaurant', 'food', 'point_of_interest', 'establishment']","Alurtol Road, Sylhet"
